time,seconds_elapsed,bpm,rolling_mean
2024-12-11 14:53:40.013237000,7535.438237060547,80.0,81.27
2024-12-11 14:53:45.013237000,7540.438237060547,77.0,81.19
2024-12-11 14:53:50.013237000,7545.438237060547,76.0,81.02
2024-12-11 14:53:55.013236700,7550.438236816406,84.0,80.87
2024-12-11 14:54:00.013237000,7555.438237060547,85.0,80.75
2024-12-11 14:54:06.013237000,7561.438237060547,85.0,80.61
2024-12-11 14:54:14.013237000,7569.438237060547,89.0,80.51
2024-12-11 14:54:19.013237000,7574.438237060547,90.0,80.43
2024-12-11 14:54:24.013237000,7579.438237060547,87.0,80.33
2024-12-11 14:54:29.013237000,7584.438237060547,87.0,80.29
2024-12-11 14:54:30.013237000,7585.438237060547,93.0,80.26
2024-12-11 14:54:35.013237000,7590.438237060547,92.0,80.24
2024-12-11 14:54:40.013237000,7595.438237060547,91.0,80.25
2024-12-11 14:54:45.013237000,7600.438237060547,90.0,80.27
2024-12-11 14:54:53.013237000,7608.438237060547,94.0,80.31
2024-12-11 14:54:58.013237000,7613.438237060547,91.0,80.36
2024-12-11 14:55:02.013237000,7617.438237060547,97.0,80.42
2024-12-11 14:55:05.013237000,7620.438237060547,91.0,80.5
2024-12-11 14:55:10.013237000,7625.438237060547,98.0,80.58
2024-12-11 14:55:19.013236700,7634.438236816406,91.0,80.7
2024-12-11 14:55:20.013236700,7635.438236816406,92.0,80.82
2024-12-11 14:55:25.013237000,7640.438237060547,90.0,80.93
2024-12-11 14:55:30.013237000,7645.438237060547,96.0,81.07
2024-12-11 14:55:39.013237000,7654.438237060547,97.0,81.25
2024-12-11 14:55:40.013237000,7655.438237060547,94.0,81.47
2024-12-11 14:55:45.013237000,7660.438237060547,103.0,81.6
2024-12-11 14:55:54.013236700,7669.438236816406,100.0,81.73
2024-12-11 14:55:55.013237000,7670.438237060547,95.0,81.8
2024-12-11 14:56:04.013237000,7679.438237060547,93.0,82.0
2024-12-11 14:56:09.013237000,7684.438237060547,94.0,82.18
2024-12-11 14:56:12.013237000,7687.438237060547,94.0,82.31
2024-12-11 14:56:17.013237000,7692.438237060547,86.0,82.46
2024-12-11 14:56:24.013236700,7699.438236816406,86.0,82.55
2024-12-11 14:56:29.013237000,7704.438237060547,77.0,82.59
2024-12-11 14:56:34.013237000,7709.438237060547,70.0,82.59
2024-12-11 14:56:36.013237000,7711.438237060547,71.0,82.55
2024-12-11 14:56:44.013237000,7719.438237060547,69.0,82.48
2024-12-11 14:56:48.013237000,7723.438237060547,72.0,82.39
2024-12-11 14:56:52.013237000,7727.438237060547,69.0,82.28
2024-12-11 14:56:59.013237000,7734.438237060547,69.0,82.18
2024-12-11 14:57:00.013236700,7735.438236816406,69.0,82.06
2024-12-11 14:57:05.013237000,7740.438237060547,71.0,82.01
2024-12-11 14:57:10.013237000,7745.438237060547,82.00000000000001,82.05
2024-12-11 14:57:15.013237000,7750.438237060547,81.0,82.12
2024-12-11 14:57:24.013237000,7759.438237060547,78.0,82.18
2024-12-11 14:57:29.013237000,7764.438237060547,77.0,82.2
2024-12-11 14:57:34.013236700,7769.438236816406,71.0,82.21
2024-12-11 14:57:37.013237000,7772.438237060547,73.0,82.2
2024-12-11 14:57:40.013237000,7775.438237060547,76.0,82.19
2024-12-11 14:57:49.013237000,7784.438237060547,79.0,82.29
