,time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,heartbeat,sound,motion
517,1742830227999143400,517.6261433105469,51.24565664213151,1.4171320577110418,180.0,51.50865116716511,6.531369837932289,81.55235030033705,4.743503040398818,3.3650729469828757,0.003154595,0.1118551504318883,104.0,-63.2476133675293,0.09351240904066122
518,1742830228999169000,518.6261689453125,51.20337377022952,1.0497754437168794,180.0,51.50865082458323,6.489086966,81.55234991817268,4.744566282877231,3.3635736680164103,0.003154408,0.0,104.0,-65.47023975920075,0.06994894490509102
519,1742830229999189800,519.6261896972657,51.20337377022952,1.04741751922338,180.0,51.50865082458323,6.489086966,81.55234991817268,4.744326684491289,3.3639116135256484,0.003154408,0.0,104.0,-66.01829180086496,0.0053169075947266204
520,1742830230999210200,520.6262102050781,51.08097847830504,1.0939384919074902,180.0,51.50865128153749,6.366691674105823,81.55235288408576,4.743005049325885,3.3657748193927053,0.003158089,0.0,101.0,-67.63936536559245,0.07639968662653945
521,1742830231999241500,521.6262414550781,51.08097847830504,1.0953802749661727,180.0,51.50865128153749,6.366691674105823,81.55235288408576,4.741719484552304,3.367585687492729,0.003158089,0.0,101.0,-62.36034705695003,0.14699912474791144
522,1742830232999261700,522.6262617,51.08097847830504,1.0957767631578366,180.0,51.50865128153749,6.366691674105823,81.55235288408576,4.740946145675902,3.368674320350611,0.003158089,0.0,101.0,-65.58440379296874,0.08883751919492669
523,1742830233999284200,523.6262841796874,51.08097847830504,1.093388901140813,180.0,51.50865128153749,6.366691674105823,81.55235288408576,4.741016174707921,3.368575761942533,0.003158089,0.0,100.0,-73.08744357757983,0.07402069474211878
524,1742830234999315700,524.6263156738281,51.08097847830504,1.0996391125996174,180.0,51.50865128153749,6.366691674105823,81.55235288408576,4.7398694246407365,3.3701891445651437,0.003158089,0.0,100.0,-75.36172940823631,0.002078001912819128
525,1742830235999320800,525.6263208007813,51.55227367673069,1.5803082939634234,180.0,51.50865742899661,6.837986872531474,81.55236366915695,4.741724008621773,3.367579317380468,0.003166936,0.1502204565277076,100.0,-73.8073787953711,0.4856729922789376
526,1742830236999342800,526.6263427734375,51.43138040602207,1.518289155683318,180.0,51.50866520153882,6.717093601822853,81.55236185486866,4.739785607207321,3.370307023180405,0.003156536,0.1384494571928234,98.0,-70.34506513789637,1.980354753730189
527,1742830237999373000,527.626373,51.44909381,1.6316741336411058,180.0,51.50867463990201,6.734807004220784,81.55235885295217,4.739786903070677,3.3703052007597933,0.003142792,0.1585235824905804,98.0,-68.67026653910006,0.519991025641693
528,1742830238999404800,528.6264047851563,51.40259577706456,1.7254306350432442,180.0,51.50868494700863,6.688308972865343,81.55235541499057,4.740634257321617,3.3691132173166207,0.003127558,0.1738272635424338,98.0,-70.7334768613945,0.08489439592608412
529,1742830239999434000,529.6264340820312,51.17023480590433,1.628125437357315,180.0,51.50869510769719,6.455948002,81.55235278135665,4.740551555569065,3.3692295828246186,0.003113597,0.1569888924770738,98.0,-71.80341202487362,1.623172015328322
530,1742830240999464200,530.6264641113281,51.19310662895441,1.710623481559454,180.0,51.50870487,6.478819824755192,81.55235192394305,4.741085445862631,3.368478265896691,0.003102524,0.170412212,98.0,-71.18361155610584,2.021050272832274
531,1742830241999488300,531.6264883,51.13032425753772,1.6796277230635697,180.0,51.50871423033173,6.416037453338504,81.55235281232845,4.740810409487723,3.368865342230479,0.00309429,0.1654289870811187,98.0,-70.96359949753982,0.7555213517536985
532,1742830242999515100,532.6265151367187,50.979087070561945,1.613010217429916,180.0,51.50872402733353,6.264800266362727,81.55234992956898,4.742527242705287,3.3664480368761125,0.003080349,0.154254370410612,102.0,-74.15497659658203,0.34512390423855677
533,1742830243999539700,533.6265397949219,50.41513571608812,1.4158952820671655,180.0,51.50872774672562,5.700848911888897,81.55233941783146,4.744314469441321,3.3639288410783243,0.003061899,0.1170181497160159,102.0,-74.35704997916201,0.2720576563750658
534,1742830244999561700,534.6265617675781,50.29980299342424,1.4096307874697327,180.0,51.50873692511608,5.585516189225018,81.55233335318859,4.747803021501181,3.3590033494792912,0.003044138,0.1164645168286779,102.0,-70.34260381567141,0.85482500859984
535,1742830245999584800,535.6265847167969,50.10002588294447,1.3709187733851331,180.0,51.50874164881699,5.385739078745246,81.55232179574402,4.747492032201352,3.359442876,0.003023211,0.1078408736071975,102.0,-70.94629759559409,0.08830069503873839
536,1742830246999609000,536.6266091308594,50.13289787340909,1.3912819877561464,180.0,51.50874602437728,5.418611069209874,81.55231123393234,4.756353916048696,3.346884291109728,0.003004027,0.109301498065334,102.0,-72.50513885986328,0.3326438871471883
537,1742830247999628500,537.6266286621094,50.19583131279797,1.533813572894528,180.0,51.50875708250496,5.481544508598745,81.55230282812293,4.756977617717576,3.345997755128185,0.002981093,0.1384187325499614,102.0,-72.32792841222427,0.056697325581429384
538,1742830248999651300,538.6266513671875,49.98108610790223,1.4391428031878295,180.0,51.50875994013578,5.266799304,81.55228976322269,4.757425318522032,3.345361172052186,0.002959948,0.1208273256274375,102.0,-71.10536838849609,2.60477003325048
539,1742830249999668200,539.6266682128906,49.72771710157394,1.3364135582701164,180.0,51.50876172723736,5.013430297374725,81.55227589690331,4.754418950490779,3.3496324389405774,0.002938766,0.099997618,102.0,-74.49272144905599,3.3375176153839923
540,1742830250999686700,540.6266867675781,49.70454140380025,1.3424980106956574,180.0,51.508760747584176,4.9902546,81.55226233118329,4.752384292484295,3.352518541236929,0.002920805,0.083743493,102.0,-72.14604620390921,0.26855869100673874
541,1742830251999704300,541.6267043457032,49.858178096823394,1.346049980020139,180.0,51.50876139234002,5.143891292624176,81.55224757470373,4.757364137159455,3.345448176142908,0.002899536,0.1000682609895055,102.0,-72.55661581819662,0.04604031760037121
542,1742830252999722000,542.6267219238281,50.45983738079667,1.2097601376178224,62.00418801521387,51.50878500993692,5.745550576597452,327.92700474216844,4.754969834568893,3.3488503855993184,0.002872595,1.0061012563938068,102.0,-70.17815358189979,0.9213069169260807
543,1742830253999738600,543.6267385253906,50.47376478835941,1.2024087138218678,38.99096694270005,51.508791484056864,5.759477984160185,308.4597026522188,4.757970402188915,3.344585876410274,0.002849136,1.342660320851589,102.0,-72.72236727515858,0.13134342931731735
544,1742830254999755300,544.6267553710937,50.37328175269067,1.220508469100125,35.60568497777877,51.50879664274223,5.658994948491454,301.7799596939816,4.7557370836551645,3.347760717843483,0.002830401,1.4048223225955598,102.0,-72.1897031641362,0.0
545,1742830255999771100,545.6267712402343,50.18630870152265,1.250145302951344,34.59911283427035,51.50880065792089,5.472021897,293.4799260913458,4.754095862097182,3.350090978880915,0.002809948,1.3812959237575644,102.0,-72.4950871213924,1.0756674357893663
546,1742830256999787300,546.6267873535156,50.00642112642527,1.263443075203852,35.00035035,51.50880339622582,5.292134322226048,290.8057219586965,4.750112467385616,3.355736667257515,0.002791056,1.3312531305339776,102.0,-73.61374689178292,4.662391814239808
