time,seconds_elapsed,steps
1742830854809655300,1144.4366552734375,1739
1742830857369678600,1146.9966787109374,1739
1742830859929703200,1149.556703125,1739
1742830908568537600,1198.1955375976563,1739
1742830911128288300,1200.7552883300782,1747
1742830913688007400,1203.3150073242186,1752
1742830916247709200,1205.8747092285157,1756
1742830918807421700,1208.4344216308593,1760
1742830921367129300,1210.9941293945312,1766
1742830923926817800,1213.5538178710938,1771
1742830926486476000,1216.1134760742189,1776
1742830929046099700,1218.673099609375,1781
1742830931605692200,1221.2326921386718,1786
1742830934165252900,1223.7922529296875,1791
1742830936724783900,1226.3517839355468,1796
1742830939284287000,1228.9112868652344,1802
1742830941843766800,1231.470766845703,1809
1742830944403224300,1234.0302243652343,1813
1742830946962659600,1236.5896596679688,1818
1742830949522069500,1239.149069580078,1823
1742830952081456600,1241.7084565429689,1827
1742830954640822000,1244.2678220214843,1832
1742830957200167200,1246.827167236328,1837
1742830959759493400,1249.386493408203,1842
1742830962318800600,1251.9458005371093,1847
1742830964878091800,1254.505091796875,1851
1742830967437364500,1257.0643645019532,1856
1742830969996622800,1259.6236228027344,1861
1742830972555865900,1262.182865966797,1866
1742830975115099000,1264.7420988769532,1871
1742830977674321200,1267.301321044922,1875
1742830980233528600,1269.860528564453,1880
1742830982792724700,1272.4197248535156,1885
1742830985351910100,1274.97891015625,1890
1742830987911084300,1277.5380842285156,1894
1742830990470247000,1280.0972468261718,1899
1742830993029399000,1282.6563989257813,1903
1742830995588540200,1285.2155400390625,1908
1742830998147671800,1287.774671875,1913
1742831000706794200,1290.333794189453,1917
1742831003265908000,1292.8929079589843,1922
1742831005825011700,1295.45201171875,1927
1742831008384106500,1298.0111064453124,1931
1742831010943190300,1300.5701901855468,1936
1742831013502267000,1303.1292668457031,1940
1742831016061332500,1305.6883325195313,1945
1742831018620390000,1308.2473898925782,1949
1742831021179438000,1310.8064379882812,1954
1742831023738482200,1313.3654821777343,1959
1742831026297521700,1315.9245217285156,1963
1742831028856553500,1318.4835534667968,1968
1742831031415582000,1321.04258203125,1973
1742831033974606600,1323.601606689453,1978
1742831036533625600,1326.1606254882813,1982
1742831039092641300,1328.7196413574218,1987
1742831041651656200,1331.27865625,1992
1742831044210665500,1333.8376655273437,1996
1742831046769670100,1336.3966701660156,2001
1742831049328670500,1338.9556704101562,2005
1742831051887663400,1341.514663330078,2010
1742831054446649600,1344.073649658203,2014
1742831057005626400,1346.6326264648437,2019
1742831059564597500,1349.1915974121093,2023
1742831062123564800,1351.7505646972656,2028
1742831064682527500,1354.3095275878907,2032
1742831067241490000,1356.8684899902344,2037
1742831069800451300,1359.4274514160156,2041
1742831072359418600,1361.986418701172,2046
1742831074918389200,1364.5453891601562,2050
1742831077477360000,1367.1043601074218,2054
1742831080036331300,1369.663331298828,2059
1742831082595295700,1372.2222956542969,2063
1742831085154253600,1374.7812536621093,2068
1742831087713204700,1377.3402048339844,2072
1742831090272151300,1379.8991513671874,2077
1742831092831093200,1382.4580932617187,2081
1742831095390032400,1385.017032470703,2086
1742831097948969000,1387.5759689941406,2090
1742831100507901700,1390.1349016113281,2095
1742831103066832100,1392.69383203125,2099
1742831105625762800,1395.2527626953124,2104
1742831108184691000,1397.8116909179687,2108
1742831110743614700,1400.3706147460937,2113
1742831113302537000,1402.9295368652345,2117
1742831115861453600,1405.4884536132813,2122
1742831118420369000,1408.0473688964844,2126
1742831120979284700,1410.6062846679688,2131
1742831123538201900,1413.165201904297,2136
1742831126097117000,1415.7241169433594,2140
1742831128656028700,1418.2830285644532,2145
1742831131214940000,1420.8419399414063,2149
1742831133773849600,1423.400849609375,2153
1742831136332775200,1425.9597751464844,2158
1742831138891742700,1428.5187426757811,2162
1742831141450741200,1431.0777412109376,2167
1742831144009750800,1433.636750732422,2171
1742831146568768500,1436.1957685546874,2176
1742831149127795200,1438.7547951660156,2180
1742831151686816300,1441.3138161621093,2185
1742831154245829600,1443.8728295898438,2189
1742831156804833800,1446.4318337402344,2194
1742831159363829200,1448.990829345703,2198
1742831161922817800,1451.5498178710936,2203
1742831164481799700,1454.108799560547,2207
1742831167040775700,1456.6677756347656,2212
1742831169599745000,1459.2267451171874,2216
1742831172158711300,1461.7857111816406,2221
1742831174717671700,1464.3446716308595,2225
1742831177276628500,1466.9036284179688,2230
1742831179835583200,1469.4625832519532,2234
1742831182394535400,1472.0215354003906,2239
1742831184953485300,1474.5804853515624,2243
1742831187512435200,1477.1394353027345,2248
1742831190071381200,1479.6983813476563,2252
1742831192630327000,1482.2573271484375,2257
1742831195189270500,1484.8162705078125,2261
1742831197748219100,1487.3752192382813,2266
1742831200307175200,1489.9341750488281,2271
1742831202866129400,1492.4931293945313,2276
1742831205425081600,1495.0520815429688,2280
1742831207984029200,1497.611029296875,2285
1742831210542976300,1500.1699763183594,2289
1742831213101921000,1502.7289211425782,2294
1742831215660862500,1505.2878625488281,2298
1742831218219800800,1507.84680078125,2303
1742831220778737200,1510.405737060547,2307
1742831223337667800,1512.9646677246094,2312
1742831225896593400,1515.5235935058595,2317
1742831228455515400,1518.0825153808594,2321
1742831231014433000,1520.6414331054686,2326
1742831233573346600,1523.2003466796875,2330
1742831236132257500,1525.7592575683593,2334
1742831238691166000,1528.318166015625,2338
1742831241250085600,1530.8770856933593,2343
1742831243809005600,1533.4360056152343,2347
1742831246367927600,1535.9949274902344,2351
1742831248926852600,1538.5538525390625,2355
1742831251485781500,1541.1127814941406,2360
1742831254044716300,1543.6717163085937,2364
1742831256603659800,1546.2306596679687,2368
1742831259162601000,1548.7896010742188,2372
1742831261721539000,1551.3485390625,2377
1742831264280470800,1553.907470703125,2382
1742831266839399000,1556.4663989257813,2386
1742831269398321700,1559.0253217773438,2391
1742831271957238300,1561.58423828125,2395
1742831274516149000,1564.1431489257814,2400
1742831277075056600,1566.702056640625,2404
1742831279633958400,1569.2609584960937,2409
1742831282192853500,1571.819853515625,2414
1742831284751745800,1574.3787458496095,2418
1742831287310634500,1576.9376345214844,2423
1742831289869519600,1579.49651953125,2427
1742831292428402000,1582.0554018554687,2432
1742831294987279400,1584.614279296875,2436
1742831297546155300,1587.1731552734375,2441
1742831300105031000,1589.7320310058594,2445
1742831302663905000,1592.290905029297,2450
1742831305222777300,1594.84977734375,2454
1742831307781646800,1597.4086467285156,2459
1742831310340513300,1599.9675131835938,2464
1742831312899375600,1602.526375732422,2468
1742831315458233000,1605.085233154297,2473
1742831318017087200,1607.644087158203,2477
1742831320575938800,1610.202938720703,2482
1742831323134785500,1612.7617856445313,2486
1742831325693631200,1615.3206313476562,2491
1742831328252471600,1617.879471435547,2495
1742831330811311400,1620.4383112792968,2500
1742831333370145800,1622.9971457519532,2504
1742831335928981500,1625.5559814453125,2509
1742831338487813600,1628.114813720703,2513
1742831341046642700,1630.673642578125,2518
1742831343605471200,1633.2324711914061,2522
1742831346164297200,1635.7912971191406,2522
1742831348723124200,1638.3501242675782,2522
1742831351281950500,1640.908950439453,2522
1742831353840775400,1643.467775390625,2534
1742831356399599600,1646.026599609375,2538
1742831358958423000,1648.5854230957032,2543
1742831361517243000,1651.144242919922,2547
1742831364076062700,1653.7030627441407,2552
1742831366634880000,1656.2618798828125,2556
1742831369193697000,1658.8206970214844,2561
1742831371752511500,1661.3795114746094,2566
1742831374311328000,1663.9383278808593,2570
1742831376870143700,1666.4971437988281,2575
1742831379428957400,1669.0559575195311,2580
1742831381987769000,1671.6147690429686,2584
1742831384546579700,1674.1735798339844,2589
1742831387105390300,1676.7323903808594,2593
1742831389664203500,1679.2912036132811,2593
1742831392223016200,1681.8500161132813,2593
1742831397340641800,1686.9676418457032,2593
1742831399899454000,1689.526453857422,2593
