time,seconds_elapsed,dBFS
1742830972372000000,1261.999,-45.056026458740234
1742830972474000000,1262.1009997558594,-46.34252166748047
1742830972573000000,1262.2,-46.06006622314453
1742830972675000000,1262.302,-46.258399963378906
1742830972776000000,1262.403,-44.84862518310547
1742830972877000000,1262.504,-42.37651062011719
1742830972978000000,1262.6049997558594,-43.34671401977539
1742830973079000000,1262.706,-44.59339904785156
1742830973179000000,1262.806,-45.31140899658203
1742830973279000000,1262.906,-45.27730941772461
1742830973379000000,1263.006,-45.852779388427734
1742830973481000000,1263.108,-45.13159942626953
1742830973581000000,1263.208,-43.324951171875
1742830973683000000,1263.31,-43.99091720581055
1742830973784000000,1263.411,-44.279518127441406
1742830973885000000,1263.512,-42.22029113769531
1742830973986000000,1263.6129997558594,-43.71062088012695
1742830974087000000,1263.714,-45.17475891113281
1742830974187000000,1263.814,-45.761966705322266
1742830974289000000,1263.916,-45.67028045654297
1742830974389000000,1264.016,-44.78214645385742
1742830974489000000,1264.116,-43.222747802734375
1742830974591000000,1264.218,-44.73876190185547
1742830974692000000,1264.319,-45.87153244018555
1742830974792000000,1264.419,-46.9328727722168
1742830974892000000,1264.519,-47.06576919555664
1742830974994000000,1264.6209997558594,-47.6688232421875
1742830975095000000,1264.722,-48.6429328918457
1742830975196000000,1264.823,-47.22641372680664
1742830975296000000,1264.923,-47.967838287353516
1742830975398000000,1265.0250002441405,-46.903892517089844
1742830975499000000,1265.126,-46.41121292114258
1742830975600000000,1265.227,-44.70909118652344
1742830975701000000,1265.328,-46.119781494140625
1742830975802000000,1265.4289997558594,-47.24238586425781
1742830975903000000,1265.53,-47.70844268798828
1742830976004000000,1265.631,-47.851318359375
1742830976105000000,1265.732,-48.092288970947266
1742830976205000000,1265.832,-47.717430114746094
1742830976306000000,1265.9329997558593,-47.613590240478516
1742830976407000000,1266.034,-47.175140380859375
1742830976508000000,1266.135,-48.89003372192383
1742830976609000000,1266.236,-48.05189514160156
1742830976709000000,1266.336,-44.34015655517578
1742830976810000000,1266.4369997558595,-45.90196990966797
1742830976911000000,1266.538,-45.291595458984375
1742830977012000000,1266.639,-46.46389389038086
1742830977113000000,1266.74,-47.573585510253906
1742830977214000000,1266.8410002441406,-48.14593505859375
1742830977315000000,1266.942,-46.57139205932617
1742830977416000000,1267.043,-47.57475662231445
1742830977517000000,1267.144,-48.1552734375
1742830977618000000,1267.2449997558595,-45.77866744995117
1742830977718000000,1267.3450002441407,-46.570831298828125
1742830977819000000,1267.446,-47.067649841308594
1742830977920000000,1267.547,-47.23580551147461
1742830978021000000,1267.648,-43.28459548950195
1742830978121000000,1267.748,-43.94611740112305
1742830978222000000,1267.8490002441406,-45.309730529785156
1742830978323000000,1267.95,-46.339378356933594
1742830978424000000,1268.051,-47.152713775634766
1742830978524000000,1268.151,-44.83600997924805
1742830978625000000,1268.252,-45.917442321777344
1742830978726000000,1268.3530002441407,-45.973289489746094
1742830978827000000,1268.454,-47.39058303833008
1742830978928000000,1268.555,-47.54560089111328
1742830979029000000,1268.656,-46.86491394042969
1742830979130000000,1268.7569997558594,-45.1802978515625
1742830979231000000,1268.858,-45.12921905517578
1742830979331000000,1268.958,-45.645965576171875
1742830979432000000,1269.059,-44.09425735473633
1742830979533000000,1269.16,-44.6422004699707
1742830979634000000,1269.2609997558593,-46.2264518737793
1742830979734000000,1269.3610002441405,-45.086273193359375
1742830979835000000,1269.462,-46.74342727661133
1742830979941000000,1269.568,-46.3193359375
1742830980043000000,1269.67,-45.21411895751953
1742830980143000000,1269.77,-45.302154541015625
1742830980245000000,1269.872,-43.70289993286133
1742830980346000000,1269.9729997558593,-45.256954193115234
1742830980447000000,1270.074,-44.04345703125
1742830980548000000,1270.175,-45.279640197753906
1742830980649000000,1270.276,-46.09994888305664
1742830980750000000,1270.3770002441406,-46.16022491455078
1742830980851000000,1270.478,-46.69477844238281
1742830980952000000,1270.579,-44.5198860168457
1742830981052000000,1270.679,-44.71577453613281
1742830981154000000,1270.7809997558593,-45.52822494506836
1742830981254000000,1270.8810002441405,-44.64360427856445
1742830981355000000,1270.982,-45.23143768310547
1742830981457000000,1271.084,-43.46581268310547
1742830981558000000,1271.1850002441406,-44.614749908447266
1742830981659000000,1271.286,-45.26234436035156
1742830981759000000,1271.386,-42.887306213378906
1742830981861000000,1271.488,-44.320823669433594
1742830981962000000,1271.5889997558593,-45.231117248535156
1742830982063000000,1271.69,-43.66262435913086
1742830982163000000,1271.79,-41.777408599853516
1742830982265000000,1271.892,-36.793331146240234
1742830982366000000,1271.9930002441406,-38.9141731262207
1742830982467000000,1272.094,-40.08962631225586
1742830982568000000,1272.195,-41.9248161315918
1742830982669000000,1272.296,-42.02333068847656
1742830982769000000,1272.396,-42.81108093261719
1742830982871000000,1272.498,-42.76031494140625
1742830982972000000,1272.599,-41.3279914855957
1742830983073000000,1272.7,-41.498538970947266
1742830983173000000,1272.8,-42.12125778198242
1742830983276000000,1272.903,-38.51987075805664
1742830983377000000,1273.004,-40.40123748779297
1742830983478000000,1273.1050002441407,-41.29115676879883
1742830983579000000,1273.206,-41.43804931640625
1742830983680000000,1273.307,-43.097930908203125
1742830983780000000,1273.407,-41.25535202026367
1742830983882000000,1273.5089997558593,-42.947532653808594
1742830983983000000,1273.61,-43.961463928222656
1742830984084000000,1273.711,-43.63142395019531
1742830984184000000,1273.811,-43.35610580444336
1742830984285000000,1273.912,-41.9449577331543
1742830984387000000,1274.014,-42.92140197753906
1742830984488000000,1274.115,-34.708457946777344
1742830984588000000,1274.215,-36.95344161987305
1742830984688000000,1274.315,-39.52265930175781
1742830984790000000,1274.4170002441406,-41.87625503540039
1742830984890000000,1274.5169997558594,-43.16844940185547
1742830984992000000,1274.619,-43.889869689941406
1742830985097000000,1274.724,-44.940338134765625
1742830985198000000,1274.8250002441407,-45.63930130004883
1742830985299000000,1274.926,-46.13979721069336
1742830985400000000,1275.027,-43.36482238769531
1742830985500000000,1275.127,-45.080570220947266
1742830985602000000,1275.2289997558594,-45.8099365234375
1742830985702000000,1275.3290002441406,-44.46363067626953
1742830985804000000,1275.431,-45.41876220703125
1742830985904000000,1275.531,-44.60411834716797
1742830986006000000,1275.6330002441407,-44.026466369628906
1742830986107000000,1275.734,-42.51832962036133
1742830986208000000,1275.835,-43.1551628112793
1742830986309000000,1275.936,-43.960426330566406
1742830986411000000,1276.038,-42.867828369140625
1742830986512000000,1276.139,-44.260833740234375
1742830986613000000,1276.24,-42.45399475097656
1742830986714000000,1276.3409997558595,-42.99801254272461
1742830986815000000,1276.442,-42.827632904052734
1742830986916000000,1276.543,-42.64228439331055
1742830987016000000,1276.643,-42.06819534301758
1742830987116000000,1276.743,-42.44207000732422
1742830987218000000,1276.8449997558594,-41.96864318847656
1742830987318000000,1276.9450002441406,-41.62421417236328
1742830987420000000,1277.047,-41.39604187011719
1742830987521000000,1277.148,-42.287776947021484
1742830987622000000,1277.2490002441407,-42.943965911865234
1742830987723000000,1277.35,-42.22187423706055
1742830987824000000,1277.451,-43.6113166809082
1742830987924000000,1277.551,-42.06718063354492
1742830988025000000,1277.652,-42.54840850830078
1742830988125000000,1277.752,-42.41665267944336
1742830988225000000,1277.852,-43.04878234863281
1742830988326000000,1277.9530002441406,-43.6998405456543
1742830988426000000,1278.0529997558594,-43.810970306396484
1742830988527000000,1278.154,-41.92596435546875
1742830988627000000,1278.254,-42.846099853515625
1742830988729000000,1278.356,-42.05550765991211
1742830988829000000,1278.456,-43.32927322387695
1742830988929000000,1278.556,-44.374244689941406
1742830989031000000,1278.658,-44.80105972290039
1742830989132000000,1278.759,-42.40286636352539
1742830989232000000,1278.859,-40.573612213134766
1742830989334000000,1278.9610002441407,-41.719573974609375
1742830989433000000,1279.06,-42.21781539916992
1742830989534000000,1279.1610002441407,-43.35956954956055
1742830989635000000,1279.262,-44.187255859375
1742830989735000000,1279.362,-44.44401931762695
1742830989835000000,1279.462,-44.44137191772461
1742830989936000000,1279.563,-43.891021728515625
1742830990037000000,1279.664,-43.63494110107422
1742830990138000000,1279.7649997558594,-44.117103576660156
1742830990238000000,1279.8650002441407,-44.97608947753906
1742830990340000000,1279.967,-44.928226470947266
1742830990440000000,1280.067,-42.29838943481445
1742830990541000000,1280.168,-43.73332214355469
1742830990642000000,1280.2689997558593,-44.89051818847656
1742830990741000000,1280.368,-45.76936721801758
1742830990844000000,1280.471,-44.48979949951172
1742830990944000000,1280.571,-42.822303771972656
1742830991045000000,1280.672,-43.33422088623047
1742830991146000000,1280.7729997558595,-41.42449188232422
1742830991247000000,1280.874,-42.17054748535156
1742830991348000000,1280.975,-41.76499557495117
1742830991448000000,1281.075,-42.62082290649414
1742830991549000000,1281.176,-39.848506927490234
1742830991650000000,1281.2769997558594,-41.0416259765625
1742830991751000000,1281.378,-40.971519470214844
1742830991853000000,1281.48,-41.589351654052734
1742830991954000000,1281.5809997558595,-41.699317932128906
1742830992055000000,1281.682,-41.550655364990234
1742830992155000000,1281.782,-42.4160270690918
1742830992256000000,1281.883,-42.49995040893555
1742830992356000000,1281.983,-43.2161750793457
1742830992457000000,1282.084,-43.64702224731445
1742830992559000000,1282.186,-42.148681640625
1742830992660000000,1282.287,-42.33685302734375
1742830992760000000,1282.387,-43.81471633911133
1742830992861000000,1282.488,-43.84903335571289
