time,seconds_elapsed,bpm
1733923151998134500,1867.4231345214844,97
1733923156998134500,1872.4231345214844,97
1733923165998134500,1881.4231345214844,99
1733923168998134500,1884.4231345214844,99
1733923171998134500,1887.4231345214844,99
1733923176998134500,1892.4231345214844,101
1733923185998134500,1901.4231345214844,102
1733923186998134500,1902.4231345214844,102
1733923191998134500,1907.4231345214844,102
1733923196998134500,1912.4231345214844,102
1733923202998134500,1918.4231345214844,103
1733923206998134500,1922.4231345214844,104
1733923214998134500,1930.4231345214844,103
1733923220998134500,1936.4231345214844,102
1733923223998134500,1939.4231345214844,101
1733923226998134500,1942.4231345214844,101
1733923233998134500,1949.4231345214844,100
1733923240998134500,1956.4231345214844,100
1733923241998134500,1957.4231345214844,100
1733923248998134500,1964.4231345214844,99
1733923252998134500,1968.4231345214844,100
1733923259998134500,1975.4231345214844,101
1733923261998134500,1977.4231345214844,101
1733923269998134500,1985.4231345214844,102
1733923275998134500,1991.4231345214844,102
1733923277998134500,1993.4231345214844,102
1733923281998134500,1997.4231345214844,101
1733923286998134500,2002.4231345214844,100
1733923295998134500,2011.4231345214844,101
1733923299998134500,2015.4231345214844,101
1733923301998134500,2017.4231345214844,101
1733923309998134500,2025.4231345214844,101
1733923314998134500,2030.4231345214844,100
1733923319998134500,2035.4231345214844,100
1733923325998134500,2041.4231345214844,100
1733923329998134500,2045.4231345214844,99
1733923335998134500,2051.4231345214844,98
1733923336998134500,2052.4231345214844,98
1733923345008723500,2060.4337233886718,98
1733923347008723500,2062.4337233886718,98
1733923354008723700,2069.4337236328124,99
1733923357008723500,2072.4337233886718,99
1733923366008723500,2081.4337233886718,103
1733923370008723500,2085.4337233886718,103
1733923374008723500,2089.4337233886718,103
1733923378008723500,2093.4337233886718,102
1733923386008723700,2101.4337236328124,101
1733923388008723500,2103.4337233886718,101
1733923396008723500,2111.4337233886718,99
1733923397008723500,2112.4337233886718,98
1733923403008723500,2118.4337233886718,98
1733923411008723500,2126.4337233886718,97
1733923415008723500,2130.4337233886718,96
1733923417008723500,2132.4337233886718,95
1733923422008723700,2137.4337236328124,95
1733923431008723500,2146.4337233886718,96
1733923434008723500,2149.4337233886718,96
1733923437008723500,2152.4337233886718,96
1733923446008723700,2161.4337236328124,96
1733923447008723500,2162.4337233886718,96
1733923452008723500,2167.4337233886718,96
1733923461008723500,2176.4337233886718,97
1733923465008723500,2180.4337233886718,96
1733923467008723500,2182.4337233886718,96
1733923472008723500,2187.4337233886718,97
1733923477008723500,2192.4337233886718,98
1733923486008723500,2201.4337233886718,99
1733923491008723500,2206.4337233886718,98
1733923496008723700,2211.4337236328124,94
1733923498008723700,2213.4337236328124,92.00000000000001
1733923502008723500,2217.4337233886718,93
1733923510008723500,2225.4337233886718,87
1733923512008723500,2227.4337233886718,87
1733923517008723500,2232.4337233886718,90
1733923522008723700,2237.4337236328124,90
1733923531008723500,2246.4337233886718,91
1733923535008723700,2250.4337236328124,90
1733923537008723500,2252.4337233886718,90
1733923546508723500,2261.9337233886718,85
1733923550508723500,2265.9337233886718,86
1733923570508723500,2285.9337233886718,82
1733923584508723500,2299.9337233886718,83
1733923662133723400,2377.5587233886718,85
1733923673133723400,2388.5587233886718,85
1733923682133723400,2397.5587233886718,85
1733923687133723400,2402.5587233886718,81
1733923688133723400,2403.5587233886718,81
